Cycle,FECCandID,CID,FirstLastP,Party Original,DistIDRunFor,DistIDCurr,CurrCand,CycleCand,CRPICO,RecipCode,NoPacs,State,District,Party,contrib_date,contrib_count,contrib_amount
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-10-10,1,500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-10-12,2,1000.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-10-13,9,4250.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-10-18,1,500.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-10-24,1,15.0
2016,H0AL05163,N00030910,MO BROOKS,R,AL05,AL05,Y,Y,I,RW, ,AL,5,R,2016-12-21,1,500.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-01-20,2,5200.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-02-10,1,1000.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-02-19,1,1000.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-03-05,1,500.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-03-09,1,250.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-03-10,1,300.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-03-12,4,2750.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-03-16,1,500.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-03-17,1,250.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-03-19,2,2000.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-03-20,2,1000.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-03-21,1,2700.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-03-23,2,5200.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-03-30,2,1500.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-03-31,14,6750.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-04-17,1,250.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-04-21,1,1000.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-04-30,1,250.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-05-12,15,9420.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-05-13,1,500.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-05-19,2,500.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-05-27,7,4100.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-05-31,1,500.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-06-01,2,750.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-06-05,1,2700.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-06-08,1,500.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-06-09,3,1750.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-06-15,3,4700.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-06-29,1,500.0
2016,H0AL07086,N00030622,TERRI A SEWELL,D,AL07,AL07,Y,Y,I,DW, ,AL,7,D,2015-06-30,6,2780.0
